city,id,name,officialName,population2010,population2020,populationGrowthPct,childShare,workingAgeShare,seniorShare,medianHouseholdIncome,incomeYear,source
广州,guangzhou,广州,番禺区,1764828,2658397,50.6,13.33,78.13,5.77,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
广州,guangzhou,广州,花都区,945005,1642360,73.8,16.58,73.87,6.64,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
广州,guangzhou,广州,南沙区,259900,846584,225.7,15.27,73.84,7.45,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
广州,guangzhou,广州,从化区,593415,717684,20.9,19.72,67.76,8.9,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
广州,guangzhou,广州,增城区,1037109,1466331,41.4,19.28,69.35,7.69,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
深圳,shenzhen,深圳,罗湖区,923423,1143801,23.9,16.96,74.47,5.47,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
深圳,shenzhen,深圳,福田区,1317511,1553225,17.9,15.94,75.63,5.47,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
深圳,shenzhen,深圳,南山区,1088345,1795826,65.0,14.77,78.0,4.65,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
深圳,shenzhen,深圳,宝安区,2638917,4476554,69.6,13.72,82.45,2.19,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
深圳,shenzhen,深圳,龙岗区+大鹏新区,2010981,4135273,105.6,16.63,78.06,3.09,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
深圳,shenzhen,深圳,盐田区,209360,214225,2.3,16.32,76.09,4.66,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
深圳,shenzhen,深圳,龙华区,1379460,2528872,83.3,14.31,81.6,2.26,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
深圳,shenzhen,深圳,坪山区,309479,551333,78.1,16.17,79.39,2.49,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
深圳,shenzhen,深圳,光明区,480907,1095289,127.8,13.09,83.48,1.93,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
成都,chengdu,成都,锦江区,690422,902933,30.8,13.45,68.6,12.97,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
成都,chengdu,成都,青羊区,828140,955954,15.4,13.9,67.15,14.04,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
成都,chengdu,成都,金牛区,1200776,1265398,5.4,11.92,70.41,12.83,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
成都,chengdu,成都,武侯区+高新区四个街道,1375699,1855186,34.9,,,,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
成都,chengdu,成都,成华区,938785,1381894,47.2,12.06,70.57,12.48,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
成都,chengdu,成都,龙泉驿区,767203,1346210,75.5,13.77,71.56,11.0,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
成都,chengdu,成都,青白江区,381792,490091,28.4,12.72,66.73,15.68,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
成都,chengdu,成都,新都区,775703,1558466,100.9,14.73,70.31,11.15,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
成都,chengdu,成都,温江区,457070,967868,111.8,13.9,71.01,11.12,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
成都,chengdu,成都,双流区+天府新区+高新区一个街道,1279930,2659829,107.8,,,,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
成都,chengdu,成都,郫都区+高新区两个街道,896162,1672025,86.6,,,,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
成都,chengdu,成都,新津区,302199,363591,20.3,12.31,65.75,17.26,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
成都,chengdu,成都,金堂县,717227,800371,11.6,14.68,63.08,17.16,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
成都,chengdu,成都,大邑县,502198,515962,2.7,12.45,63.5,19.39,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
成都,chengdu,成都,蒲江县,239562,255563,6.7,12.79,63.51,18.59,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
成都,chengdu,成都,都江堰市,657996,710056,7.9,12.5,63.46,18.82,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
成都,chengdu,成都,彭州市,762887,780399,2.3,12.67,62.06,19.48,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
成都,chengdu,成都,邛崃市,612753,602973,-1.6,12.48,62.6,19.73,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
成都,chengdu,成都,崇州市,661120,735723,11.3,11.39,66.1,17.88,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
成都,chengdu,成都,简阳市+东部新区,1071214,1117265,4.3,16.05,57.73,21.48,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
香港,hong-kong,香港,元朗區,,,,,,,30000,2025,"Hong Kong Census and Statistics Department, 2025 district household income"
香港,hong-kong,香港,南區,,,,,,,36000,2025,"Hong Kong Census and Statistics Department, 2025 district household income"
香港,hong-kong,香港,灣仔區,,,,,,,43300,2025,"Hong Kong Census and Statistics Department, 2025 district household income"
香港,hong-kong,香港,中西區,,,,,,,45000,2025,"Hong Kong Census and Statistics Department, 2025 district household income"
香港,hong-kong,香港,東區,,,,,,,33400,2025,"Hong Kong Census and Statistics Department, 2025 district household income"
香港,hong-kong,香港,離島區,,,,,,,31800,2025,"Hong Kong Census and Statistics Department, 2025 district household income"
香港,hong-kong,香港,油尖旺區,,,,,,,30300,2025,"Hong Kong Census and Statistics Department, 2025 district household income"
香港,hong-kong,香港,觀塘區,,,,,,,24900,2025,"Hong Kong Census and Statistics Department, 2025 district household income"
香港,hong-kong,香港,深水埗區,,,,,,,25000,2025,"Hong Kong Census and Statistics Department, 2025 district household income"
香港,hong-kong,香港,九龍城區,,,,,,,31300,2025,"Hong Kong Census and Statistics Department, 2025 district household income"
香港,hong-kong,香港,黃大仙區,,,,,,,25600,2025,"Hong Kong Census and Statistics Department, 2025 district household income"
香港,hong-kong,香港,葵青區,,,,,,,25700,2025,"Hong Kong Census and Statistics Department, 2025 district household income"
香港,hong-kong,香港,荃灣區,,,,,,,34200,2025,"Hong Kong Census and Statistics Department, 2025 district household income"
香港,hong-kong,香港,屯門區,,,,,,,27400,2025,"Hong Kong Census and Statistics Department, 2025 district household income"
香港,hong-kong,香港,沙田區,,,,,,,31800,2025,"Hong Kong Census and Statistics Department, 2025 district household income"
香港,hong-kong,香港,西貢區,,,,,,,40600,2025,"Hong Kong Census and Statistics Department, 2025 district household income"
香港,hong-kong,香港,大埔區,,,,,,,30700,2025,"Hong Kong Census and Statistics Department, 2025 district household income"
香港,hong-kong,香港,北區,,,,,,,26200,2025,"Hong Kong Census and Statistics Department, 2025 district household income"
